linear: 	 0 	 0.24 (0.01) 	 0.00 (0.00) 	 0 	 nan (nan) 	 nan (nan) 
cart: 	 3 	 2.09 (0.11) 	 1.45 (0.11) 	 0 	 nan (nan) 	 nan (nan) 
cart: 	 5 	 2.64 (0.14) 	 1.53 (0.12) 	 1 	 0.000 (nan) 	 0.00 (nan) 
cart: 	 10 	 4.61 (0.88) 	 2.70 (0.58) 	 0 	 nan (nan) 	 nan (nan) 
rf: 	 5 	 5.20 (0.62) 	 2.35 (0.34) 	 0 	 nan (nan) 	 nan (nan) 
rf: 	 10 	 10.83 (2.68) 	 3.41 (0.78) 	 3 	 0.006 (0.001) 	 16.67 (5.93) 
rf: 	 20 	 22.59 (7.10) 	 4.15 (1.22) 	 7 	 0.004 (0.002) 	 16.29 (4.47) 
rf: 	 50 	 61.93 (14.29) 	 3.89 (1.22) 	 11 	 0.004 (0.001) 	 17.36 (3.10) 
rf: 	 100 	 103.33 (31.75) 	 3.20 (0.89) 	 10 	 0.004 (0.001) 	 17.10 (1.27) 
gbm: 	 5 	 4.50 (0.50) 	 2.50 (0.34) 	 0 	 nan (nan) 	 nan (nan) 
gbm: 	 10 	 6.87 (0.88) 	 3.15 (0.42) 	 0 	 nan (nan) 	 nan (nan) 
gbm: 	 20 	 14.02 (1.09) 	 4.40 (0.34) 	 0 	 nan (nan) 	 nan (nan) 
gbm: 	 50 	 34.03 (3.15) 	 5.21 (0.44) 	 1 	 0.010 (nan) 	 11.00 (nan) 
gbm: 	 100 	 133.53 (24.40) 	 8.50 (0.98) 	 6 	 0.007 (0.001) 	 22.50 (4.67) 
mlp: 	 (10,) 	 1.64 (0.09) 	 1.00 (0.00) 	 0 	 nan (nan) 	 nan (nan) 
mlp: 	 (10, 10, 10) 	 2.54 (0.15) 	 1.00 (0.00) 	 0 	 nan (nan) 	 nan (nan) 
mlp: 	 (50,) 	 2.42 (0.14) 	 1.00 (0.00) 	 0 	 nan (nan) 	 nan (nan) 
mlp: 	 (100,) 	 3.57 (0.14) 	 1.00 (0.00) 	 0 	 nan (nan) 	 nan (nan) 
