linear: 	 0 	 0.25 (0.01) 	 0.00 (0.00) 	 0 	 nan (nan) 	 nan (nan) 
cart: 	 3 	 1.53 (0.04) 	 1.00 (0.00) 	 0 	 nan (nan) 	 nan (nan) 
cart: 	 5 	 1.86 (0.09) 	 1.10 (0.07) 	 0 	 nan (nan) 	 nan (nan) 
cart: 	 10 	 3.90 (0.88) 	 2.00 (0.58) 	 0 	 nan (nan) 	 nan (nan) 
rf: 	 5 	 3.50 (0.36) 	 1.75 (0.22) 	 0 	 nan (nan) 	 nan (nan) 
rf: 	 10 	 6.74 (1.03) 	 2.60 (0.40) 	 0 	 nan (nan) 	 nan (nan) 
rf: 	 20 	 21.21 (4.61) 	 4.55 (0.99) 	 0 	 nan (nan) 	 nan (nan) 
rf: 	 50 	 115.79 (34.35) 	 7.80 (1.65) 	 0 	 nan (nan) 	 nan (nan) 
rf: 	 100 	 214.38 (65.07) 	 6.44 (1.31) 	 2 	 0.009 (0.000) 	 21.50 (1.50) 
gbm: 	 5 	 2.70 (0.22) 	 1.20 (0.14) 	 0 	 nan (nan) 	 nan (nan) 
gbm: 	 10 	 3.20 (0.30) 	 1.45 (0.15) 	 0 	 nan (nan) 	 nan (nan) 
gbm: 	 20 	 5.94 (0.50) 	 2.60 (0.23) 	 0 	 nan (nan) 	 nan (nan) 
gbm: 	 50 	 18.38 (1.62) 	 4.05 (0.35) 	 0 	 nan (nan) 	 nan (nan) 
gbm: 	 100 	 87.11 (26.24) 	 7.28 (0.77) 	 2 	 0.006 (0.003) 	 37.50 (8.50) 
mlp: 	 (10,) 	 1.63 (0.04) 	 1.00 (0.00) 	 0 	 nan (nan) 	 nan (nan) 
mlp: 	 (10, 10, 10) 	 2.98 (0.15) 	 1.15 (0.08) 	 0 	 nan (nan) 	 nan (nan) 
mlp: 	 (50,) 	 2.60 (0.14) 	 1.00 (0.00) 	 0 	 nan (nan) 	 nan (nan) 
mlp: 	 (100,) 	 3.53 (0.15) 	 1.00 (0.00) 	 0 	 nan (nan) 	 nan (nan) 
