linear: 	 0 	 0.24 (0.01) 	 0.00 (0.00) 	 0 	 nan (nan) 	 nan (nan) 
cart: 	 3 	 2.18 (0.13) 	 1.70 (0.15) 	 0 	 nan (nan) 	 nan (nan) 
cart: 	 5 	 4.21 (0.39) 	 2.00 (0.23) 	 0 	 nan (nan) 	 nan (nan) 
cart: 	 10 	 14.17 (2.64) 	 2.63 (0.50) 	 1 	 0.000 (nan) 	 18.00 (nan) 
rf: 	 5 	 7.96 (1.65) 	 3.17 (0.55) 	 2 	 0.004 (0.004) 	 29.00 (4.00) 
rf: 	 10 	 15.20 (3.17) 	 4.20 (0.68) 	 0 	 nan (nan) 	 nan (nan) 
rf: 	 20 	 104.42 (27.35) 	 9.81 (1.78) 	 4 	 0.007 (0.002) 	 12.25 (3.75) 
rf: 	 50 	 137.37 (39.96) 	 6.50 (1.51) 	 10 	 0.004 (0.001) 	 14.70 (2.51) 
rf: 	 100 	 177.47 (41.01) 	 3.80 (0.86) 	 15 	 0.002 (0.001) 	 11.00 (1.59) 
gbm: 	 5 	 4.67 (0.47) 	 2.45 (0.26) 	 0 	 nan (nan) 	 nan (nan) 
gbm: 	 10 	 6.11 (1.04) 	 2.70 (0.48) 	 0 	 nan (nan) 	 nan (nan) 
gbm: 	 20 	 10.97 (1.45) 	 3.65 (0.49) 	 0 	 nan (nan) 	 nan (nan) 
gbm: 	 50 	 76.04 (33.09) 	 9.35 (2.21) 	 0 	 nan (nan) 	 nan (nan) 
gbm: 	 100 	 201.13 (77.68) 	 12.08 (2.92) 	 8 	 0.005 (0.001) 	 31.88 (4.89) 
mlp: 	 (10,) 	 1.73 (0.05) 	 1.00 (0.00) 	 0 	 nan (nan) 	 nan (nan) 
mlp: 	 (10, 10, 10) 	 2.04 (0.10) 	 1.00 (0.00) 	 6 	 0.000 (0.000) 	 0.00 (0.00) 
mlp: 	 (50,) 	 2.00 (0.08) 	 1.00 (0.00) 	 1 	 0.000 (nan) 	 0.00 (nan) 
mlp: 	 (100,) 	 5.28 (0.83) 	 1.15 (0.11) 	 0 	 nan (nan) 	 nan (nan) 
