linear: 	 0 	 0.15 (0.01) 	 0.00 (0.00) 	 0 	 nan (nan) 	 nan (nan) 
cart: 	 3 	 1.09 (0.07) 	 1.60 (0.15) 	 0 	 nan (nan) 	 nan (nan) 
cart: 	 5 	 1.63 (0.13) 	 2.05 (0.22) 	 0 	 nan (nan) 	 nan (nan) 
cart: 	 10 	 8.84 (1.49) 	 4.45 (0.59) 	 0 	 nan (nan) 	 nan (nan) 
rf: 	 5 	 4.29 (0.73) 	 5.25 (0.86) 	 0 	 nan (nan) 	 nan (nan) 
rf: 	 10 	 14.71 (3.53) 	 8.35 (1.24) 	 0 	 nan (nan) 	 nan (nan) 
rf: 	 20 	 89.00 (28.17) 	 14.00 (2.28) 	 2 	 0.045 (0.002) 	 36.00 (0.00) 
rf: 	 50 	 303.27 (93.95) 	 16.73 (2.55) 	 9 	 0.034 (0.004) 	 28.56 (4.60) 
rf: 	 100 	 453.67 (111.27) 	 15.43 (2.19) 	 13 	 0.032 (0.004) 	 19.23 (2.01) 
gbm: 	 5 	 1.50 (0.10) 	 2.05 (0.20) 	 0 	 nan (nan) 	 nan (nan) 
gbm: 	 10 	 8.87 (4.44) 	 8.55 (3.21) 	 0 	 nan (nan) 	 nan (nan) 
gbm: 	 20 	 41.81 (17.86) 	 17.05 (4.37) 	 1 	 0.025 (nan) 	 184.00 (nan) 
gbm: 	 50 	 223.87 (125.98) 	 19.86 (4.23) 	 13 	 0.027 (0.004) 	 63.38 (7.44) 
gbm: 	 100 	 nan (nan) 	 nan (nan) 	 20 	 0.022 (0.003) 	 34.60 (3.00) 
mlp: 	 (10,) 	 1.00 (0.04) 	 1.15 (0.08) 	 0 	 nan (nan) 	 nan (nan) 
mlp: 	 (10, 10, 10) 	 2.02 (0.26) 	 1.65 (0.21) 	 0 	 nan (nan) 	 nan (nan) 
mlp: 	 (50,) 	 1.75 (0.13) 	 1.35 (0.11) 	 0 	 nan (nan) 	 nan (nan) 
mlp: 	 (100,) 	 5.88 (1.19) 	 1.80 (0.16) 	 0 	 nan (nan) 	 nan (nan) 
