linear: 	 0 	 0.25 (0.01) 	 0.00 (0.00) 	 0 	 nan (nan) 	 nan (nan) 
cart: 	 3 	 1.66 (0.07) 	 1.10 (0.07) 	 0 	 nan (nan) 	 nan (nan) 
cart: 	 5 	 1.96 (0.08) 	 1.10 (0.07) 	 0 	 nan (nan) 	 nan (nan) 
cart: 	 10 	 2.86 (0.16) 	 1.20 (0.09) 	 0 	 nan (nan) 	 nan (nan) 
rf: 	 5 	 3.79 (0.24) 	 1.70 (0.13) 	 0 	 nan (nan) 	 nan (nan) 
rf: 	 10 	 8.76 (0.89) 	 2.85 (0.33) 	 0 	 nan (nan) 	 nan (nan) 
rf: 	 20 	 22.33 (2.83) 	 4.40 (0.51) 	 0 	 nan (nan) 	 nan (nan) 
rf: 	 50 	 137.26 (33.37) 	 8.20 (1.20) 	 0 	 nan (nan) 	 nan (nan) 
rf: 	 100 	 285.62 (95.57) 	 8.27 (2.02) 	 9 	 0.004 (0.001) 	 17.33 (2.49) 
gbm: 	 5 	 2.37 (0.15) 	 1.60 (0.13) 	 0 	 nan (nan) 	 nan (nan) 
gbm: 	 10 	 4.35 (0.44) 	 2.75 (0.30) 	 0 	 nan (nan) 	 nan (nan) 
gbm: 	 20 	 9.01 (1.11) 	 3.85 (0.50) 	 0 	 nan (nan) 	 nan (nan) 
gbm: 	 50 	 81.33 (28.39) 	 8.90 (1.36) 	 0 	 nan (nan) 	 nan (nan) 
gbm: 	 100 	 137.98 (22.74) 	 10.33 (0.97) 	 2 	 0.007 (0.000) 	 18.00 (4.00) 
mlp: 	 (10,) 	 2.22 (0.19) 	 1.80 (0.21) 	 0 	 nan (nan) 	 nan (nan) 
mlp: 	 (10, 10, 10) 	 13.01 (3.57) 	 2.30 (0.40) 	 0 	 nan (nan) 	 nan (nan) 
mlp: 	 (50,) 	 5.75 (0.75) 	 1.20 (0.12) 	 0 	 nan (nan) 	 nan (nan)
mlp: 	 (100,) 	 61.31 (33.11) 	 1.50 (0.22) 	 10 	 0.000 (0.000) 	 0.60 (0.16)  
